location,area_sqft,bedrooms,bathrooms,balconies,age_years,distance_to_it_hub_km,nearest_metro_km,parking_spaces,amenity_score,price_lakh
Koramangala,608,1,1,0,8,7.73,0.9,2,92.9,120.62
Marathahalli,1740,4,4,0,19,20.64,5.82,0,62.3,163.52
Jayanagar,1556,2,1,0,23,0.85,,0,69.9,170.84
Bellandur,738,1,2,3,10,10.38,0.63,1,88.2,136.24
Electronic City,2689,5,6,2,4,15.62,6.99,0,62.4,254.94
Marathahalli,1614,2,3,3,18,1.05,3.28,1,92.1,184.76
JP Nagar,908,3,2,1,20,5.79,1.61,0,59.3,112.53
HSR Layout,432,3,3,2,17,8.52,7.34,2,83.9,155.12
Yelahanka,1361,2,1,1,10,1.04,3.53,0,80.0,81.66
Bellandur,1171,2,2,3,26,13.89,6.83,4,52.1,121.09
Electronic City,681,1,1,2,10,15.96,0.38,0,47.5,69.71
Whitefield,676,1,2,1,5,6.07,4.52,0,46.7,49.94
Marathahalli,1935,4,5,3,0,13.82,,0,79.1,195.45
Yelahanka,409,1,2,2,21,24.98,7.87,1,40.8,34.09
Bellandur,1426,3,2,0,28,22.23,10.44,2,79.6,131.61
JP Nagar,1082,3,4,0,20,1.94,8.94,0,86.9,164.03
Hebbal,1577,1,1,0,28,3.63,8.69,0,58.2,99.13
Koramangala,1021,1,2,1,8,12.61,10.47,3,84.7,131.84
Marathahalli,1410,2,3,1,28,6.51,0.43,0,49.9,109.13
JP Nagar,798,2,3,3,29,2.48,5.16,1,97.6,150.96
Bellandur,1168,3,2,0,6,6.74,11.53,0,53.9,150.81
Marathahalli,1570,4,4,1,5,2.0,2.29,1,69.3,172.83
Jayanagar,1304,1,1,0,26,13.48,7.91,4,98.8,142.97
Yelahanka,1479,2,1,3,27,12.51,9.52,1,94.4,130.97
Bellandur,720,1,1,2,22,0.65,11.22,1,79.6,105.38
Jayanagar,867,2,2,1,9,12.32,10.49,1,62.2,129.89
Indiranagar,875,2,1,1,4,13.24,8.18,0,82.0,144.43
Electronic City,1031,1,2,2,0,15.34,8.59,0,67.6,85.17
Hebbal,2533,4,4,1,14,24.27,4.25,0,46.5,216.57
Yelahanka,988,2,1,3,24,24.58,2.84,3,87.8,67.66
Marathahalli,640,1,1,1,4,13.41,11.51,0,92.3,75.88
Koramangala,1616,3,3,1,19,21.21,11.71,0,64.5,147.05
JP Nagar,2517,6,5,2,5,2.59,5.21,1,79.9,287.16
Whitefield,600,3,3,3,4,13.51,5.05,2,41.8,71.43
JP Nagar,3551,5,6,0,16,17.13,5.53,3,51.8,300.32
Marathahalli,1508,3,2,0,17,14.34,5.64,2,74.2,142.52
Hebbal,2119,6,5,2,3,6.15,,1,56.4,277.76
JP Nagar,2689,5,6,3,23,2.04,5.28,3,96.7,302.27
Electronic City,2049,4,3,2,20,9.97,10.61,1,90.2,188.2
Hebbal,1129,3,2,2,22,16.37,8.4,0,79.3,122.36
Bellandur,2344,4,4,0,1,24.8,11.59,1,99.9,250.54
Jayanagar,1380,3,2,3,7,6.3,8.16,1,54.6,183.08
Whitefield,2186,4,5,3,4,22.99,5.06,1,95.1,196.32
Sarjapur Road,2322,4,3,2,3,2.17,11.03,2,58.3,234.89
Marathahalli,659,2,2,0,24,23.31,2.91,3,75.8,65.84
HSR Layout,1857,4,5,3,21,20.89,11.59,2,66.1,213.3
Sarjapur Road,1086,2,3,2,13,1.01,0.71,1,66.6,122.38
JP Nagar,1295,2,3,1,3,7.81,7.76,0,85.8,155.66
Marathahalli,1287,1,2,0,7,1.75,0.42,1,60.9,143.27
Jayanagar,1259,2,2,3,2,24.89,,1,70.5,134.64
Indiranagar,2774,6,6,3,13,10.98,5.67,1,52.7,366.07
Jayanagar,566,1,1,3,28,16.72,2.07,1,85.8,102.25
HSR Layout,465,1,1,0,25,6.24,11.87,2,73.1,57.31
Whitefield,414,1,1,2,17,23.38,9.32,0,55.3,25.0
Jayanagar,2161,4,4,1,22,7.22,10.24,3,56.0,269.38
Koramangala,784,2,1,3,29,6.88,11.75,0,57.6,74.42
Indiranagar,1290,2,3,0,11,8.21,8.16,1,82.0,201.26
Sarjapur Road,1127,1,1,3,14,11.83,3.35,1,75.7,118.59
Bellandur,737,1,1,2,19,0.95,9.13,1,89.3,128.68
Electronic City,1917,4,3,1,19,15.15,7.09,2,74.3,175.12
Koramangala,1119,3,3,3,25,1.28,3.36,3,58.4,161.55
Indiranagar,1053,2,2,0,8,13.71,4.53,0,97.8,208.0
Bellandur,1364,3,4,2,1,11.72,7.37,0,93.2,181.73
Bellandur,1784,4,4,1,0,6.44,4.87,1,56.7,196.15
Marathahalli,708,1,1,0,14,8.58,2.97,0,94.8,109.17
Indiranagar,1939,5,5,3,22,17.79,5.27,0,83.2,265.2
Whitefield,2664,5,5,0,14,0.74,,0,64.9,277.61
JP Nagar,548,1,1,1,27,8.26,10.53,0,68.0,53.62
HSR Layout,1398,4,5,2,7,17.17,8.39,0,66.8,179.94
HSR Layout,1015,2,2,2,2,4.23,4.64,1,87.8,212.77
Sarjapur Road,1763,2,3,3,1,14.23,11.36,0,50.5,161.85
Sarjapur Road,615,1,1,3,3,4.64,4.79,2,43.5,41.06
HSR Layout,2939,5,5,3,17,4.29,6.98,0,69.9,300.74
Jayanagar,496,1,2,3,11,19.42,6.24,0,57.4,68.58
Whitefield,1049,2,3,1,17,7.03,1.64,1,73.8,101.47
Jayanagar,1524,3,2,3,20,9.71,5.2,2,98.7,203.07
Jayanagar,823,1,1,0,9,18.39,1.12,3,80.3,125.44
Electronic City,755,1,2,1,20,4.9,2.21,1,97.6,92.67
Yelahanka,1356,3,4,1,7,13.53,9.49,2,83.9,151.03
JP Nagar,1252,2,3,3,24,22.99,3.77,3,44.6,123.5
Electronic City,1204,3,4,1,17,14.07,1.25,1,93.4,144.42
Marathahalli,1924,3,4,0,16,1.7,8.68,1,51.9,165.65
Yelahanka,966,2,3,1,18,14.95,9.67,0,91.9,111.27
Yelahanka,1431,4,5,1,5,2.71,7.02,4,84.9,187.48
Indiranagar,908,2,3,0,13,7.41,11.0,0,90.3,172.71
Whitefield,752,2,3,0,4,21.32,10.22,1,55.2,66.78
Whitefield,1026,1,2,1,7,0.77,6.72,1,88.4,141.14
Yelahanka,912,1,1,2,7,2.39,8.9,1,76.6,100.83
Jayanagar,938,3,2,1,17,9.4,4.09,4,44.9,110.65
Indiranagar,2278,5,4,0,29,24.99,7.71,3,93.3,312.51
JP Nagar,1043,2,1,0,8,7.65,11.73,0,92.6,128.5
Yelahanka,833,1,2,0,13,4.35,9.64,2,74.3,88.57
Koramangala,1219,2,1,2,13,13.96,4.62,1,67.2,159.19
Sarjapur Road,1271,4,5,0,19,13.22,11.2,2,64.0,152.38
Sarjapur Road,625,1,1,3,13,11.52,,0,76.2,76.94
Electronic City,1018,2,1,3,16,23.69,0.64,1,90.5,73.84
Marathahalli,996,2,2,2,29,7.36,9.0,0,74.0,129.12
Hebbal,1092,1,1,0,1,7.69,11.72,0,47.8,136.4
Hebbal,1788,4,5,0,13,3.94,3.95,0,58.4,229.95
Sarjapur Road,1294,1,1,3,26,17.58,3.45,1,80.1,107.23
Bellandur,2358,3,3,3,21,8.37,7.75,3,78.8,249.29
Electronic City,1192,2,1,1,20,20.17,1.5,1,71.1,69.81
Hebbal,3187,6,6,2,11,24.31,8.16,0,54.4,301.56
Sarjapur Road,931,1,1,1,22,1.57,2.87,0,56.2,58.96
Marathahalli,786,2,3,2,24,24.83,5.53,1,69.1,60.84
Hebbal,1621,2,1,0,15,6.73,10.73,0,63.7,167.99
Jayanagar,2541,4,5,0,21,10.79,,2,59.0,299.08
Jayanagar,562,2,3,2,5,19.55,1.47,1,89.8,101.54
Whitefield,1077,2,3,1,17,16.8,9.18,2,70.2,100.06
Whitefield,858,1,2,3,6,19.57,5.06,2,70.2,102.45
JP Nagar,1298,3,4,2,1,11.93,11.93,0,65.7,127.28
Yelahanka,1207,1,1,2,12,22.94,3.74,1,80.9,112.88
Koramangala,2515,5,4,2,22,19.85,5.75,1,50.5,259.93
Whitefield,1131,3,2,0,7,8.08,4.23,1,96.6,154.57
Hebbal,2556,5,6,2,11,23.74,7.12,2,46.3,260.78
Indiranagar,1009,4,3,0,0,24.05,3.34,2,82.6,184.04
Sarjapur Road,1997,2,2,3,8,10.67,10.97,3,82.3,191.64
Indiranagar,1361,3,4,3,7,16.47,7.48,2,46.8,204.02
Marathahalli,3107,5,5,1,8,20.46,11.32,0,99.6,276.73
Whitefield,533,1,1,0,4,20.52,,2,42.1,51.32
Koramangala,633,1,2,3,12,0.85,2.39,1,61.9,121.45
Marathahalli,3286,6,6,3,13,15.91,0.38,1,65.5,274.64
Bellandur,802,1,2,1,3,24.36,5.01,1,88.2,119.29
Bellandur,830,1,1,1,16,6.17,11.92,2,41.8,75.77
Indiranagar,741,2,1,1,8,19.99,10.55,2,73.4,128.92
Yelahanka,2257,4,3,0,29,13.59,10.19,1,52.2,138.79
Electronic City,602,3,2,2,19,5.93,6.91,0,74.4,52.77
Yelahanka,1215,3,4,0,14,1.75,1.32,2,78.8,155.4
Hebbal,1037,3,3,1,19,19.12,,1,42.0,100.57
Jayanagar,2122,2,2,2,3,8.25,10.1,2,44.0,229.63
JP Nagar,880,3,2,3,1,9.7,2.29,2,45.1,120.48
Yelahanka,1508,2,1,0,27,12.39,1.11,1,91.1,153.68
JP Nagar,630,1,2,1,26,12.93,8.58,2,95.6,101.89
JP Nagar,4191,6,7,1,12,5.55,0.21,2,66.3,410.49
Koramangala,1052,1,1,2,3,16.93,8.94,2,92.5,146.84
Whitefield,1206,1,2,0,17,17.47,2.47,2,68.6,102.74
Koramangala,2982,6,7,3,23,3.99,3.99,3,64.1,393.84
JP Nagar,869,1,2,3,15,13.56,,2,71.9,111.37
Marathahalli,3002,5,4,2,22,15.43,9.37,0,87.4,259.72
Bellandur,957,3,2,2,26,5.06,5.92,1,53.4,107.53
JP Nagar,1736,4,4,3,9,22.41,2.16,1,58.1,188.42
Koramangala,876,2,3,2,1,12.33,0.65,0,90.9,196.51
Marathahalli,569,1,1,2,13,3.32,11.84,3,95.0,64.31
Koramangala,1507,1,2,0,1,8.69,8.63,3,47.4,196.51
Yelahanka,1706,4,4,2,17,12.19,8.22,0,82.3,149.93
Sarjapur Road,582,1,2,1,0,0.75,6.13,1,40.6,95.2
Indiranagar,1014,2,2,1,12,1.28,5.33,2,54.8,166.39
Electronic City,2323,4,4,1,5,1.86,9.59,0,44.1,191.36
Jayanagar,1669,4,3,2,21,13.68,9.95,0,70.9,204.45
Koramangala,966,3,4,3,16,8.73,,0,60.6,133.53
Electronic City,864,3,2,1,26,22.38,10.34,1,48.3,42.74
HSR Layout,3504,5,6,0,16,14.2,9.19,4,40.0,335.9
Koramangala,541,1,2,2,21,19.12,,2,63.3,71.77
Sarjapur Road,1162,1,1,3,10,17.33,,2,57.7,123.01
Electronic City,536,2,2,3,5,13.25,10.05,2,42.8,79.38
Jayanagar,2473,4,5,2,19,18.75,9.56,1,91.1,285.19
JP Nagar,1195,3,2,2,2,13.85,1.84,0,64.6,118.88
Koramangala,1324,2,2,0,13,9.94,6.68,2,86.5,190.85
Whitefield,5503,6,6,2,24,11.18,11.64,0,65.3,458.55
Indiranagar,866,1,2,2,5,21.04,8.88,0,44.1,87.14
Sarjapur Road,3139,4,5,3,16,14.3,11.68,2,63.7,270.68
Hebbal,968,1,1,1,2,9.74,9.36,0,93.2,153.49
Hebbal,1055,1,1,1,16,4.9,6.39,0,40.5,98.95
Electronic City,5121,6,6,3,18,12.64,7.34,1,93.7,390.0
Sarjapur Road,1098,1,2,2,17,6.68,8.57,1,79.4,120.13
Marathahalli,564,1,1,0,4,23.91,8.8,0,99.7,95.82
Jayanagar,1401,3,4,1,14,12.53,9.02,2,95.0,175.66
Indiranagar,1091,2,2,2,2,0.72,11.18,1,92.1,228.91
JP Nagar,1468,4,5,1,22,2.78,3.85,2,42.3,134.75
Koramangala,1115,2,3,3,7,7.47,9.99,2,56.8,162.67
Koramangala,4059,6,5,1,6,2.76,6.92,3,62.5,458.39
Hebbal,1630,5,6,3,17,22.4,10.65,2,82.0,214.04
Koramangala,664,2,2,3,9,21.43,7.65,2,78.9,79.04
Indiranagar,1285,2,3,3,25,24.29,11.23,2,50.3,108.44
Whitefield,773,1,1,0,22,17.81,5.2,1,84.2,74.65
HSR Layout,1047,2,1,2,9,16.31,1.37,0,49.3,106.98
Bellandur,727,1,1,3,18,23.13,,1,67.4,92.94
Yelahanka,3824,6,5,3,22,23.69,9.34,0,74.7,296.29
Electronic City,820,2,1,1,0,22.0,,0,92.2,64.88
Whitefield,1752,3,4,2,1,21.61,8.75,1,77.9,172.01
JP Nagar,1004,1,1,0,27,16.96,0.54,1,97.3,90.23
Hebbal,635,1,1,0,25,0.54,11.59,0,99.7,122.9
Electronic City,1338,3,2,1,0,11.02,,1,70.5,129.22
Koramangala,1496,1,1,0,8,16.07,5.08,1,43.1,107.12
Sarjapur Road,1632,3,4,1,28,13.9,5.14,1,41.7,149.31
JP Nagar,400,1,1,2,28,20.62,10.9,1,91.3,40.85
Electronic City,608,1,1,1,14,20.56,8.98,3,70.0,84.54
Jayanagar,2032,3,4,1,17,15.17,7.52,1,62.0,229.27
Koramangala,722,1,2,3,17,1.04,1.62,0,57.1,130.7
Electronic City,1342,1,1,0,21,9.55,4.02,0,56.9,103.96
Sarjapur Road,601,1,2,2,6,6.11,6.0,0,44.4,55.57
Jayanagar,1794,3,2,2,13,8.8,1.56,1,58.2,170.03
Koramangala,2003,3,4,3,28,15.62,6.94,1,78.7,267.55
HSR Layout,1795,4,4,1,17,2.13,,2,63.1,241.39
Whitefield,2117,2,2,2,29,1.04,9.93,1,96.9,189.88
Marathahalli,2836,5,6,2,19,11.2,9.98,0,80.1,220.19
Hebbal,629,2,1,1,18,19.94,7.27,2,91.8,116.46
Yelahanka,778,1,2,1,28,1.25,4.44,4,46.8,74.02
Indiranagar,1966,3,3,2,4,21.3,0.73,3,67.0,279.18
Hebbal,2234,4,5,1,8,9.91,7.62,1,42.5,238.32
Yelahanka,828,1,2,0,17,3.4,9.46,2,93.7,86.03
JP Nagar,797,1,1,2,12,14.4,9.53,2,48.8,64.19
Yelahanka,838,2,3,1,4,23.83,5.92,3,88.3,91.76
Koramangala,496,1,1,2,23,13.79,1.86,2,95.4,95.71
HSR Layout,596,2,3,2,21,17.32,0.96,1,66.5,66.06
Marathahalli,604,1,2,3,19,20.5,0.86,2,63.4,56.32
Whitefield,1021,1,1,0,14,20.08,3.14,0,76.0,102.04
Whitefield,1393,3,2,0,25,2.29,1.87,2,84.4,162.91
Sarjapur Road,1523,2,2,3,23,18.65,2.19,1,78.7,146.25
Indiranagar,907,2,1,3,18,23.76,8.45,2,40.1,96.2
Electronic City,920,1,2,2,19,17.67,,0,87.2,103.38
HSR Layout,1284,2,2,0,10,20.99,8.37,1,48.8,127.89
Electronic City,527,1,1,3,8,12.4,4.35,1,67.0,46.68
Marathahalli,2034,4,3,1,20,8.32,9.34,2,56.9,161.76
Yelahanka,2433,2,2,2,21,17.07,2.08,0,95.7,203.89
Whitefield,851,2,3,0,27,12.56,0.48,2,70.1,78.37
Marathahalli,964,2,3,2,15,22.43,1.25,0,71.3,87.88
Yelahanka,2378,5,5,2,10,24.37,11.6,1,44.6,172.46
Whitefield,1121,2,3,1,1,20.59,6.55,4,93.8,135.63
Yelahanka,1658,3,2,1,24,24.82,7.36,1,54.3,122.56
Indiranagar,1141,1,2,3,7,9.04,11.61,2,64.8,172.41
HSR Layout,2824,4,3,1,22,22.45,9.36,1,99.1,256.82
Hebbal,1571,3,4,0,24,8.58,1.53,0,46.8,160.13
Jayanagar,1622,3,2,3,20,3.39,5.18,1,83.1,215.32
JP Nagar,1639,2,2,0,4,15.72,9.89,1,55.6,158.41
Marathahalli,884,2,1,0,10,11.65,8.05,1,65.2,129.57
Marathahalli,930,1,2,3,10,23.08,,1,65.1,67.97
Jayanagar,1832,4,3,1,8,12.56,,1,95.9,229.64
Hebbal,1286,3,4,2,10,23.23,6.79,0,40.6,175.34
Bellandur,628,1,2,1,4,2.43,9.5,1,62.0,80.76
Koramangala,3362,6,5,0,8,20.85,7.59,1,91.1,441.81
Indiranagar,2055,3,4,0,0,19.1,5.66,0,94.6,326.76
Indiranagar,1225,3,3,3,25,18.14,,0,58.7,149.55
Jayanagar,1032,2,3,0,9,9.2,10.41,3,54.5,166.6
Electronic City,1339,2,2,3,26,19.7,5.69,1,67.7,79.35
Yelahanka,1595,2,2,3,7,12.34,0.55,0,84.8,146.93
Koramangala,400,1,2,1,18,18.02,,0,49.2,61.27
HSR Layout,3835,6,6,0,15,14.03,1.27,3,87.1,394.04
HSR Layout,777,2,2,1,12,4.36,4.03,1,70.8,149.77
Jayanagar,1199,3,2,2,23,2.08,6.69,1,48.4,171.63
Indiranagar,1223,3,3,1,4,9.47,4.27,2,80.3,252.74
HSR Layout,3599,6,6,0,17,23.35,3.51,1,77.7,367.54
Bellandur,1143,2,2,2,8,13.48,0.44,0,77.3,91.79
Marathahalli,2875,6,6,0,3,20.15,3.38,2,85.3,287.86
Sarjapur Road,1501,2,2,2,13,14.61,4.74,1,50.9,126.42
JP Nagar,707,1,2,0,29,23.97,3.62,1,81.8,80.06
Jayanagar,1292,1,1,1,6,9.55,,0,93.2,147.44
Electronic City,1124,2,3,0,11,1.9,8.06,1,71.8,166.96
Yelahanka,661,1,2,3,23,19.63,9.4,1,69.2,56.41
JP Nagar,1461,1,2,3,6,17.78,2.39,0,87.9,174.22
Yelahanka,1215,2,1,1,10,13.42,7.5,0,48.8,56.91
Whitefield,1630,4,3,1,21,8.5,5.27,0,60.5,162.31
JP Nagar,1335,3,4,2,14,5.11,4.01,0,91.2,212.59
Sarjapur Road,839,2,1,1,29,12.32,5.9,1,70.0,67.36
Indiranagar,1831,3,3,3,27,16.82,5.88,1,90.4,219.22
Bellandur,851,1,2,1,6,14.68,7.74,0,55.1,88.32
Marathahalli,400,1,2,3,19,11.22,6.8,2,63.4,77.74
Marathahalli,1288,3,4,1,25,13.72,7.65,3,89.4,141.33
Bellandur,885,1,1,3,16,3.14,11.77,1,49.8,95.06
Koramangala,1481,3,2,2,4,17.55,9.76,0,93.7,215.02
Whitefield,3603,6,5,0,7,18.49,3.65,3,58.6,319.48
Yelahanka,3660,6,6,0,9,0.78,6.5,0,98.4,318.61
Sarjapur Road,1096,2,1,3,5,7.13,2.91,0,89.7,116.65
HSR Layout,762,1,2,1,20,2.76,6.32,0,67.3,82.76
JP Nagar,1655,4,3,1,1,24.96,8.6,2,84.5,191.2
Whitefield,979,1,1,0,25,15.04,0.98,2,73.3,76.38
Jayanagar,1489,3,2,3,27,11.91,1.82,3,91.2,216.89
JP Nagar,834,1,1,1,4,11.84,0.29,3,71.1,97.79
Sarjapur Road,1377,2,3,0,9,24.14,4.67,0,99.3,149.0
Electronic City,768,1,1,3,27,16.67,9.25,1,48.0,56.86
Electronic City,2302,3,4,2,2,4.63,5.5,3,80.6,209.45
Whitefield,867,2,1,1,12,11.48,6.94,0,54.7,87.91
Indiranagar,1726,2,2,1,15,19.47,7.16,2,51.5,190.0
Sarjapur Road,599,1,1,3,14,10.87,1.26,2,64.5,57.3
Sarjapur Road,1844,3,4,0,1,8.08,2.26,0,62.0,208.97
Bellandur,705,2,3,3,29,24.78,11.0,1,42.8,43.71
Indiranagar,1385,2,2,0,2,23.42,5.61,2,65.7,159.51
Yelahanka,2107,5,5,3,19,23.57,5.14,3,97.1,190.17
Yelahanka,1075,2,1,2,17,3.73,9.06,2,68.0,126.8
HSR Layout,681,3,3,1,29,6.24,0.73,0,58.1,100.04
Marathahalli,1577,2,3,0,19,11.33,10.12,1,96.9,156.98
Electronic City,756,3,4,2,19,20.89,8.11,1,70.3,87.22
Jayanagar,961,2,2,3,14,18.55,1.91,0,57.2,105.73
Yelahanka,1389,3,4,0,21,21.32,0.97,2,87.0,105.57
Indiranagar,2536,4,3,0,27,23.06,0.23,1,53.4,267.62
Sarjapur Road,1218,1,1,2,4,19.63,3.67,2,54.9,98.38
Jayanagar,1215,2,2,3,22,6.91,,1,59.5,123.46
Hebbal,1800,3,4,2,10,7.49,2.29,2,63.7,203.07
Yelahanka,1234,2,2,3,22,9.14,3.59,1,75.0,102.35
Sarjapur Road,1702,4,5,2,2,7.93,6.83,2,70.9,203.84
Yelahanka,2172,4,5,2,8,6.6,1.53,2,84.6,181.22
Electronic City,1002,2,3,2,6,18.94,2.57,1,83.0,117.6
Hebbal,400,1,1,2,22,1.33,6.83,0,42.7,73.82
JP Nagar,765,1,2,3,1,18.35,8.51,1,48.0,78.63
Yelahanka,2333,3,2,1,14,20.68,11.19,4,52.9,152.23
Indiranagar,1178,1,2,2,11,2.12,6.22,2,75.9,197.56
Yelahanka,996,2,2,3,15,2.02,1.54,1,93.7,123.58
Marathahalli,2280,3,2,1,25,7.49,7.18,0,59.5,172.63
Jayanagar,1135,2,1,0,15,5.6,11.95,0,97.8,179.15
Jayanagar,400,1,1,0,15,14.74,,0,50.4,32.43
Electronic City,524,1,1,2,18,17.05,9.41,1,95.5,43.61
Indiranagar,1511,3,2,0,2,16.04,8.87,2,88.1,230.69
Hebbal,1157,2,2,2,27,9.26,9.12,0,63.3,121.31
Bellandur,2671,3,4,2,28,12.71,1.27,1,52.4,222.3
Indiranagar,802,1,2,1,21,16.18,6.34,2,63.5,116.61
Jayanagar,1012,2,2,0,19,3.43,8.34,0,52.8,125.88
Marathahalli,738,2,1,2,3,6.12,1.06,1,73.7,131.06
JP Nagar,901,3,2,0,0,22.32,10.99,0,74.5,127.58
Electronic City,424,2,2,1,21,8.89,1.71,1,86.1,43.47
Bellandur,971,2,3,0,7,20.13,1.24,1,71.7,104.42
Marathahalli,1166,2,2,1,23,6.65,1.66,1,60.7,97.23
Hebbal,1113,1,1,1,14,1.52,5.19,2,94.7,161.74
Hebbal,3914,6,5,1,23,12.76,6.61,2,44.7,366.89
Marathahalli,3290,6,5,2,20,22.37,1.32,4,88.5,310.48
Whitefield,794,2,1,3,25,20.57,9.47,0,64.6,44.04
Electronic City,400,1,2,2,21,6.7,2.56,1,50.9,42.7
Indiranagar,1136,1,2,0,4,22.79,6.81,0,47.2,134.08
Sarjapur Road,1476,2,3,2,19,12.25,6.0,1,53.2,137.98
JP Nagar,748,1,1,2,11,1.7,10.89,1,47.3,45.34
Sarjapur Road,768,2,1,3,19,1.18,10.74,2,67.5,140.34
Indiranagar,2865,5,4,0,19,12.39,3.01,0,61.0,348.53
Indiranagar,1042,2,2,1,3,13.88,6.55,0,61.4,161.62
Electronic City,1727,4,3,1,29,2.46,11.83,2,49.4,149.32
Indiranagar,719,1,2,0,21,23.09,4.12,1,79.6,80.86
Jayanagar,1163,1,2,2,14,18.1,1.07,1,76.5,100.86
Whitefield,997,3,4,3,5,20.13,8.67,0,98.9,136.23
Bellandur,828,1,1,3,4,14.81,6.14,2,50.1,97.41
Indiranagar,2265,4,5,0,27,16.76,11.29,1,90.0,295.42
Sarjapur Road,559,2,2,0,10,10.0,6.99,2,42.0,77.71
Indiranagar,1415,3,3,2,13,17.14,6.24,0,44.4,164.93
Hebbal,987,2,2,3,10,24.47,11.0,2,78.9,110.73
Whitefield,1508,3,2,0,8,16.37,4.69,1,64.4,155.54
Jayanagar,994,4,3,2,23,8.87,7.25,0,53.8,139.36
Jayanagar,1933,5,6,2,9,7.49,10.18,2,40.2,249.08
Yelahanka,716,1,2,0,5,24.1,7.25,4,79.8,81.93
Jayanagar,2268,5,5,3,10,5.03,3.71,1,66.5,299.29
Yelahanka,1181,3,2,1,8,20.25,6.79,0,50.2,74.34
Marathahalli,578,1,2,2,4,11.9,,0,98.3,94.79
JP Nagar,1744,2,3,1,9,11.37,11.82,1,61.1,161.07
HSR Layout,1076,2,1,2,19,18.81,,2,58.2,90.22
Jayanagar,469,1,1,3,13,4.13,9.26,1,70.6,132.36
Bellandur,1441,2,3,1,5,11.92,0.48,0,56.6,136.36
Hebbal,2087,3,4,0,3,1.38,7.33,2,56.4,240.43
Koramangala,2429,5,4,2,23,16.92,5.29,1,98.0,309.01
Marathahalli,975,1,1,0,22,1.93,10.94,1,55.7,112.06
Jayanagar,1300,2,2,0,20,2.64,6.56,1,76.3,195.42
JP Nagar,1234,3,3,3,9,21.2,9.96,0,42.2,124.23
Yelahanka,2723,5,6,0,21,11.35,8.13,0,49.3,215.94
Sarjapur Road,768,1,1,2,10,5.42,5.48,0,41.3,46.57
Koramangala,929,3,4,0,15,15.02,4.18,1,72.1,173.88
JP Nagar,758,2,3,0,6,13.22,1.58,0,69.5,115.35
JP Nagar,541,1,1,2,17,10.57,0.36,0,59.9,49.38
Jayanagar,1375,2,3,0,24,22.68,0.22,2,82.0,139.26
Marathahalli,2895,4,3,3,6,18.86,2.87,3,77.5,254.42
Koramangala,1076,2,3,2,23,4.21,6.82,1,76.0,205.34
Electronic City,739,1,2,3,29,14.48,11.71,1,60.2,52.03
HSR Layout,1330,2,3,0,20,2.67,8.52,3,59.6,151.47
Electronic City,1659,2,2,1,14,6.49,1.03,3,92.4,146.75
Hebbal,1101,1,1,3,18,22.79,7.81,0,72.6,59.73
Koramangala,2597,5,4,3,17,11.82,5.93,1,56.3,324.73
Electronic City,768,3,4,0,14,22.36,7.71,4,72.6,106.13
Jayanagar,1025,1,1,1,17,4.57,7.55,1,56.0,67.67
Whitefield,1412,2,1,2,2,5.53,1.9,3,51.1,176.72
Yelahanka,1490,3,4,1,0,9.14,11.05,0,56.9,133.68
Whitefield,1232,2,2,2,0,9.47,6.74,1,77.7,139.01
Indiranagar,594,1,1,0,6,18.76,8.47,2,71.0,67.9
Electronic City,4342,6,5,1,9,15.19,,0,49.9,291.48
Hebbal,1054,2,2,0,11,14.05,,3,94.5,152.42
Indiranagar,1275,2,3,3,26,15.26,8.35,0,69.9,179.75
Sarjapur Road,1685,3,4,1,7,18.44,11.32,1,87.6,160.33
Bellandur,846,2,2,2,21,22.37,,2,59.8,47.51
Sarjapur Road,1238,2,2,3,22,10.66,,0,97.5,134.56
Koramangala,827,2,1,2,16,20.17,7.55,0,85.1,97.05
JP Nagar,1508,2,2,3,13,12.63,5.26,1,67.3,151.21
Yelahanka,1031,1,1,2,16,18.19,4.91,0,94.1,102.33
Electronic City,1391,4,5,2,24,21.93,,2,83.0,117.8
Hebbal,675,1,2,0,20,1.29,8.9,0,65.8,100.14
Hebbal,761,1,2,3,22,13.89,6.2,3,98.4,133.6
Marathahalli,566,2,2,0,5,24.74,5.13,0,57.9,59.7
Bellandur,812,2,2,0,19,12.66,,0,55.4,92.44
HSR Layout,400,1,1,0,16,21.68,4.25,1,93.7,50.94
HSR Layout,1014,2,1,0,19,5.05,6.58,2,82.4,164.6
HSR Layout,894,3,2,2,25,15.31,0.77,2,60.7,119.5
Electronic City,1304,2,1,0,25,21.82,4.42,2,53.9,62.63
HSR Layout,1230,2,3,0,7,11.07,,2,50.7,177.28
Jayanagar,2396,6,5,0,12,12.42,,0,58.8,250.02
Whitefield,4999,6,6,2,15,2.51,8.97,2,47.5,452.09
Hebbal,2243,4,4,3,11,1.53,0.36,0,48.7,220.59
Bellandur,935,3,4,2,26,11.98,3.68,0,86.6,131.4
Whitefield,915,2,2,2,28,21.17,3.28,2,43.8,88.99
JP Nagar,1935,5,5,2,16,23.32,6.35,2,66.4,175.43
Bellandur,475,1,1,3,17,16.64,5.7,1,64.3,63.23
Whitefield,1009,2,1,0,7,20.75,1.14,1,97.6,82.05
Bellandur,1053,4,3,0,17,18.5,9.18,1,67.9,122.38
JP Nagar,1655,3,3,3,10,17.69,8.31,2,49.7,184.7
Indiranagar,1682,5,5,3,12,19.34,9.89,0,45.3,230.1
