location,property_type,bedrooms,bathrooms,area_sqft,age_years,floor,parking_spaces,metro_distance_km,clubhouse,swimming_pool,gym,security_rating,price_inr
Sector 84,Apartment,3,4,2107,16,4,1,4.64,1,0,0,1,39960183
Sector 54,Villa,5,5,2929,13,26,2,6.51,0,1,1,1,62452128
Sohna Road,Apartment,2,3,1074,21,24,1,4.2,1,1,1,5,21666481
South City 1,Apartment,3,4,1479,10,39,3,9.81,0,1,1,4,24619111
DLF Phase 5,Apartment,3,3,1057,15,38,3,3.01,1,0,1,3,42544132
Sector 56,Apartment,2,2,1381,10,19,3,10.59,1,0,1,4,25140258
Golf Course Extension Road,Builder Floor,2,3,1609,17,30,2,11.62,1,1,0,3,32567366
Sector 56,Builder Floor,3,3,1452,1,26,2,1.95,1,1,1,1,29309137
DLF Phase 4,Apartment,3,3,1266,22,11,1,9.8,1,1,1,1,41467646
Sector 57,Apartment,3,3,1538,20,39,2,14.43,1,0,1,1,30455939
Sector 70,Apartment,2,3,1281,7,3,2,2.97,0,1,1,5,29363963
DLF Phase 2,Villa,5,6,2646,13,22,3,13.65,1,1,1,3,57032535
Sector 57,Villa,1,1,526,1,17,1,9.13,1,1,1,1,10127541
New Gurgaon,Apartment,3,3,1765,12,11,3,8.91,0,0,1,5,30429980
DLF Phase 1,Apartment,3,4,1842,9,39,2,0.87,1,0,1,4,32422499
South City 1,Builder Floor,2,3,1303,7,27,1,11.25,0,0,1,5,24126937
Sector 56,Apartment,2,2,1117,6,43,2,7.23,1,1,1,5,21510531
Sector 56,Villa,4,5,2224,12,29,3,10.85,0,0,0,2,39225911
Sector 92,Apartment,4,5,1323,23,12,3,12.16,1,0,1,4,23722263
Palam Vihar,Apartment,2,2,1461,18,13,2,7.9,1,0,0,2,23489131
DLF Phase 3,Apartment,3,3,1905,23,11,0,4.03,0,1,1,3,41451156
Golf Course Road,Apartment,3,4,2434,14,31,3,2.21,1,1,0,5,65217264
Golf Course Road,Apartment,2,3,1343,21,11,2,2.49,1,1,1,5,53174014
New Gurgaon,Builder Floor,3,4,1769,1,41,1,13.02,1,1,1,5,35441455
DLF Phase 2,Apartment,4,4,1567,21,43,1,1.94,1,1,0,5,32999074
Sector 85,Apartment,2,2,742,4,36,1,5.83,1,0,1,2,19169801
South City 1,Apartment,5,5,3733,18,2,1,5.08,1,1,0,3,65581902
DLF Phase 2,Apartment,2,2,1357,0,23,3,13.0,1,0,1,2,26986886
Sector 65,Apartment,3,4,2415,6,36,1,7.22,1,1,1,5,47272179
Palam Vihar,Apartment,3,3,2191,17,14,0,14.95,1,0,1,3,34121403
DLF Phase 5,Builder Floor,3,3,1644,0,37,1,11.08,0,0,1,4,49285678
Sector 92,Apartment,3,4,833,0,27,2,12.78,1,0,1,2,16679035
Golf Course Extension Road,Apartment,2,2,1369,6,12,1,1.57,1,0,1,1,34754825
Sector 83,Apartment,3,4,1373,16,29,0,3.87,1,1,0,4,26060081
Sector 92,Builder Floor,4,4,2296,24,6,1,2.12,0,0,0,4,43095055
DLF Phase 1,Villa,2,3,1315,5,44,2,7.01,0,0,1,5,22428303
DLF Phase 1,Builder Floor,4,5,2046,19,23,1,10.8,1,1,1,5,40603758
Sector 84,Apartment,2,3,968,11,10,2,2.62,0,1,1,4,20068211
DLF Phase 1,Apartment,4,4,2227,19,34,1,2.04,1,1,0,2,41670287
New Gurgaon,Apartment,2,3,627,14,44,1,9.26,1,1,1,3,16769192
Sector 92,Apartment,2,2,910,12,12,1,3.53,1,1,1,2,24174277
Sector 67,Apartment,2,2,906,11,32,1,7.24,0,1,0,2,12412906
Sector 57,Apartment,3,3,1700,20,26,1,0.86,1,1,0,4,34307581
Sector 82,Apartment,3,3,1402,1,7,1,10.24,1,0,1,2,34727457
DLF Phase 3,Apartment,3,3,1583,20,32,1,8.17,0,0,0,3,41028105
Sector 70,Builder Floor,2,2,1075,17,33,2,9.75,1,0,1,4,21638545
South City 1,Apartment,3,4,2693,3,18,1,4.2,1,1,1,2,44038406
Sector 54,Apartment,3,4,2123,9,35,3,4.25,1,1,1,5,45425100
Palam Vihar,Builder Floor,3,3,1749,10,20,3,12.04,0,1,1,2,37669240
Sector 65,Apartment,2,2,1325,20,31,3,10.81,0,0,1,4,24435868
Sector 67,Builder Floor,1,1,728,5,5,1,8.74,1,0,1,4,16374285
Sector 67,Apartment,4,4,2561,5,32,3,9.46,1,1,1,5,53023620
DLF Phase 1,Apartment,2,2,910,8,42,1,1.5,1,1,1,4,22553607
Sector 56,Builder Floor,2,3,1161,19,19,1,12.86,0,0,1,1,21526277
DLF Phase 3,Builder Floor,1,2,463,12,1,0,11.57,0,0,0,4,12489405
DLF Phase 4,Builder Floor,3,3,1661,4,7,3,8.9,1,1,1,2,56001450
Sector 83,Apartment,3,3,1733,5,22,1,13.79,1,1,1,3,36103527
Sohna Road,Apartment,3,4,2242,3,34,3,2.61,1,1,0,2,46075549
Sector 83,Apartment,2,2,977,5,10,1,10.33,1,0,0,4,20295586
Sector 84,Apartment,3,3,1432,17,42,3,14.45,0,1,0,1,20114524
Sector 89,Villa,2,2,999,12,26,3,4.72,1,0,0,2,12711318
Palam Vihar,Apartment,4,5,2058,22,32,3,0.33,0,1,1,3,42760960
Sector 82,Villa,3,4,1666,2,42,2,11.05,1,1,1,2,33663694
Sector 83,Apartment,3,3,1938,9,27,3,0.2,1,0,1,5,40827810
Sector 82,Apartment,2,3,980,3,12,4,13.1,1,1,1,1,19975654
DLF Phase 2,Apartment,2,3,1232,24,40,1,0.94,1,1,1,4,22567246
Sector 54,Villa,3,3,1853,14,23,2,9.83,0,1,1,2,32960671
DLF Phase 1,Builder Floor,3,4,2032,11,14,2,5.72,0,0,1,2,36132476
Sector 82,Builder Floor,2,3,1140,14,34,1,3.13,1,0,1,2,19030599
Sector 89,Builder Floor,5,6,3582,20,17,3,13.48,1,1,0,2,60272843
DLF Phase 4,Builder Floor,5,6,3258,24,6,1,11.22,1,1,1,3,75773713
Sector 54,Villa,3,4,1936,9,27,2,5.17,1,1,1,5,40383118
DLF Phase 5,Apartment,5,6,2614,11,8,1,4.33,1,1,0,5,62169835
DLF Phase 3,Apartment,2,2,1276,21,33,1,11.07,0,0,0,1,29099918
Sector 67,Apartment,1,1,649,7,35,1,12.56,0,0,0,1,8840591
Sector 56,Penthouse,1,1,516,20,17,3,10.77,0,1,1,3,9660461
Sector 54,Villa,3,4,2301,20,26,1,9.64,1,1,1,5,42639688
Sector 85,Apartment,2,2,1934,2,7,3,3.5,1,0,0,1,36656220
DLF Phase 2,Builder Floor,5,6,2540,6,24,3,12.81,0,1,0,4,49756266
Golf Course Extension Road,Villa,2,3,1068,17,25,2,11.27,1,1,0,5,30305201
Sector 57,Apartment,2,2,1075,2,35,1,7.81,1,0,1,2,16347768
Sector 56,Apartment,4,5,1666,14,26,1,7.72,0,0,1,5,34324851
Sector 85,Villa,2,2,954,1,5,2,8.58,1,0,0,4,15341954
South City 1,Apartment,2,3,1440,14,38,0,12.44,1,0,1,2,22463163
Golf Course Extension Road,Builder Floor,3,3,1765,12,35,2,11.16,1,1,0,5,41277427
Golf Course Extension Road,Apartment,2,2,1737,23,30,4,12.86,1,0,1,2,44219473
DLF Phase 3,Villa,2,2,1119,19,25,1,7.66,0,0,0,2,24741527
Sector 65,Penthouse,2,2,1316,9,24,2,9.41,1,1,1,3,22290883
Golf Course Extension Road,Villa,3,4,1420,23,30,4,12.83,1,1,1,4,41714840
Sector 84,Apartment,5,5,2922,23,20,3,3.56,1,1,1,3,59376144
DLF Phase 1,Villa,4,5,2449,23,3,3,6.72,0,0,1,5,43337631
DLF Phase 5,Villa,2,2,610,23,32,3,9.35,0,1,1,2,34608259
Sector 83,Apartment,3,3,1453,7,8,1,13.74,0,1,1,5,27806906
Sector 82,Builder Floor,3,3,2067,15,23,3,0.34,0,0,1,5,42344897
DLF Phase 2,Apartment,5,6,3407,24,16,3,3.27,1,1,0,3,63133241
Sector 57,Apartment,2,2,850,15,35,2,3.59,0,0,0,5,13074324
Golf Course Extension Road,Apartment,3,3,1648,1,25,1,4.97,1,1,0,4,43244567
DLF Phase 4,Apartment,4,5,1073,8,15,2,4.3,1,1,1,2,43011384
Sector 92,Apartment,5,5,2997,7,8,1,8.89,1,1,0,1,59880009
Sector 85,Builder Floor,2,3,1552,10,34,1,13.3,0,0,1,4,28354330
New Gurgaon,Apartment,2,2,1565,0,25,2,9.59,1,1,1,1,33009438
DLF Phase 4,Builder Floor,2,2,1555,20,44,2,3.7,0,1,1,1,39526626
Sector 67,Apartment,1,1,673,10,19,2,12.97,0,1,1,3,6502647
DLF Phase 1,Apartment,3,4,2286,17,43,1,9.52,0,0,1,1,40907899
DLF Phase 3,Apartment,3,3,1720,20,13,3,3.36,1,1,1,2,44479201
Sector 83,Builder Floor,3,3,1580,14,12,1,5.49,0,0,1,3,29441763
Palam Vihar,Apartment,2,2,1519,23,15,1,11.87,1,1,0,4,23350383
DLF Phase 4,Builder Floor,2,3,1280,8,23,2,11.11,0,1,0,4,37600322
South City 1,Villa,2,3,697,8,40,1,8.69,1,0,1,4,13839960
Sector 83,Apartment,2,3,1540,0,2,1,2.26,1,0,1,5,31897990
Sector 89,Apartment,4,5,2276,6,40,1,12.07,1,1,1,3,46545012
DLF Phase 1,Apartment,2,3,1013,11,23,3,4.68,0,0,1,3,24567907
DLF Phase 5,Villa,1,2,737,23,5,2,11.6,1,1,0,3,29451934
Sector 89,Apartment,3,3,2154,9,34,1,9.75,1,1,0,2,39716014
Palam Vihar,Villa,3,3,1398,18,10,1,4.04,0,1,1,3,22607395
Sector 54,Apartment,3,3,1734,15,27,2,3.26,1,0,0,2,32981430
Sector 67,Villa,4,4,1891,5,42,3,2.05,1,1,1,4,43077731
Sector 92,Builder Floor,2,2,953,10,4,2,3.7,1,1,1,5,18584197
DLF Phase 5,Penthouse,3,4,543,18,4,3,2.45,1,1,0,1,38607187
New Gurgaon,Apartment,2,3,916,24,8,2,9.29,0,0,0,5,13890852
DLF Phase 4,Builder Floor,2,3,1152,18,6,2,9.02,0,0,1,5,36889610
DLF Phase 4,Apartment,5,5,1016,17,25,3,8.83,1,1,1,5,44242856
DLF Phase 4,Apartment,2,3,815,24,27,3,9.66,0,1,0,1,27047943
DLF Phase 4,Builder Floor,3,3,2054,14,40,3,12.24,1,0,0,2,50649275
Sector 92,Villa,2,3,804,15,20,2,13.71,1,1,0,4,16357023
New Gurgaon,Penthouse,3,3,1733,13,27,3,3.53,1,1,0,1,33814252
Sector 85,Builder Floor,4,5,1474,7,7,2,8.86,1,0,0,4,28264147
Sector 85,Apartment,4,4,2629,7,23,3,1.27,1,1,1,2,52364573
Sector 83,Apartment,4,5,2217,1,20,0,1.89,0,1,0,4,48055017
Sector 57,Builder Floor,3,3,1414,5,34,2,9.85,0,1,1,2,31271093
Sector 85,Apartment,2,3,459,12,29,3,7.35,1,0,0,1,13974884
Palam Vihar,Apartment,3,3,1424,12,44,1,11.4,1,0,1,1,24122915
DLF Phase 2,Apartment,3,3,2079,20,5,2,6.44,1,1,1,4,40040350
New Gurgaon,Apartment,1,1,817,11,27,3,2.0,1,0,1,4,11323619
DLF Phase 4,Apartment,3,3,1707,1,12,1,13.09,1,1,0,5,47955891
Sector 65,Apartment,4,5,2343,20,17,2,1.34,1,1,0,5,42489746
Golf Course Extension Road,Apartment,3,4,1515,19,37,2,2.92,0,1,1,4,45418338
Sector 82,Apartment,2,3,1544,24,34,2,4.23,1,0,1,5,27815488
Golf Course Extension Road,Penthouse,4,4,2265,11,30,0,14.93,1,1,0,4,48245935
Palam Vihar,Apartment,2,3,1450,16,36,1,6.31,1,0,0,3,24569736
New Gurgaon,Apartment,2,2,1269,5,6,1,7.58,0,1,1,5,20255860
Sector 84,Builder Floor,3,4,1851,6,32,1,11.57,1,1,0,4,33839957
Sector 83,Apartment,3,3,1371,5,32,1,9.58,1,0,1,3,27068443
Sector 89,Villa,3,4,2548,20,9,2,12.64,0,0,1,5,45176416
Sector 57,Builder Floor,2,2,1610,3,22,2,7.35,1,1,0,1,32056155
Sector 70,Apartment,2,2,1836,20,10,3,14.59,1,1,1,4,26226621
Sector 84,Apartment,2,3,892,8,29,1,11.97,1,1,1,1,17323040
DLF Phase 5,Villa,5,6,3184,4,11,2,6.08,1,1,1,5,79572811
DLF Phase 2,Villa,3,4,1466,9,28,1,5.78,0,0,1,3,25661765
Sector 92,Apartment,2,2,1324,14,2,3,13.95,1,1,0,4,22677836
Sector 83,Apartment,1,1,640,7,21,2,10.3,0,0,1,3,13694396
Sector 70,Apartment,2,2,1084,22,31,3,9.36,1,1,0,1,15849232
Sector 70,Penthouse,3,4,1703,3,41,0,11.39,0,0,1,4,35293865
DLF Phase 1,Apartment,2,2,1785,4,17,2,8.46,1,1,1,1,27924708
DLF Phase 3,Villa,3,4,1743,6,27,2,2.47,0,1,0,1,49180541
Golf Course Extension Road,Builder Floor,3,3,874,5,30,3,4.86,0,0,0,3,33049108
Sector 82,Apartment,4,5,2099,12,41,2,8.41,1,0,1,5,39823314
Sector 89,Apartment,3,3,1339,18,8,2,0.37,1,0,1,1,29159311
Sector 92,Apartment,3,3,1413,9,37,1,6.62,1,1,1,1,36223723
DLF Phase 2,Apartment,2,3,1398,14,5,2,11.36,0,0,0,2,27625177
Sector 89,Apartment,4,4,2898,2,26,1,2.55,1,1,1,3,55145293
Sector 57,Apartment,3,3,1445,17,6,0,1.06,1,0,1,1,32105855
Sector 89,Builder Floor,2,3,1045,13,16,1,12.56,1,1,0,2,26204255
DLF Phase 5,Apartment,4,4,2009,2,1,4,9.3,1,1,1,3,58997428
Sector 85,Apartment,2,3,1625,10,9,1,2.73,0,0,1,4,30161947
Sector 83,Penthouse,1,2,728,9,21,3,12.11,0,1,1,5,11306036
DLF Phase 4,Villa,2,2,1389,16,7,4,9.91,1,1,1,3,39306145
Sector 65,Villa,4,4,1822,12,43,3,5.08,1,1,1,1,37138640
Golf Course Extension Road,Penthouse,3,3,1082,24,15,3,5.71,1,1,1,2,33578030
Sector 70,Apartment,4,5,3089,1,24,3,2.42,0,0,1,2,61446252
South City 1,Apartment,2,2,1737,12,5,1,12.55,1,0,1,4,23706726
Sector 65,Builder Floor,3,4,1062,18,38,1,7.68,1,0,1,2,22573460
DLF Phase 3,Builder Floor,3,3,2741,4,29,2,8.4,1,1,0,1,58048936
DLF Phase 5,Apartment,4,4,2340,15,11,2,13.26,1,1,1,3,60379901
Sector 84,Builder Floor,1,2,623,9,4,1,0.34,0,1,1,4,15985658
Sector 56,Apartment,2,2,830,11,10,2,1.1,0,1,0,5,20743092
Sector 56,Apartment,2,2,703,19,34,2,2.51,1,0,1,5,15871238
Sector 54,Apartment,4,4,1132,12,4,3,0.55,1,1,1,1,29724624
Sector 84,Apartment,3,3,2232,20,10,2,9.91,0,1,1,4,38732010
DLF Phase 5,Apartment,3,3,1765,15,33,2,9.54,0,1,1,4,52745029
Sector 67,Apartment,3,4,1993,21,18,2,3.24,1,1,0,1,41249317
Sector 56,Villa,5,5,3793,20,12,2,2.33,1,0,1,4,71778076
Sector 57,Apartment,4,5,2346,0,23,4,2.27,1,0,0,2,54517969
Sector 84,Apartment,3,3,2509,21,44,1,14.3,1,1,1,2,44390612
DLF Phase 1,Villa,2,2,968,8,25,2,10.43,1,0,1,1,13178713
DLF Phase 4,Villa,2,3,1083,15,37,2,8.82,1,1,0,1,37296710
DLF Phase 4,Villa,5,5,2368,18,4,2,4.91,0,0,1,2,59316178
Sector 85,Builder Floor,3,3,2150,14,13,1,6.55,1,1,1,3,43222119
Sector 57,Builder Floor,2,3,1511,17,18,1,1.43,0,1,0,1,25801912
Sector 85,Apartment,3,4,1609,21,29,1,14.97,1,1,0,2,24819386
Sector 70,Apartment,4,4,1619,11,44,1,11.35,1,1,1,3,34957225
Sector 82,Apartment,3,4,2316,13,30,3,9.36,0,1,1,3,40996435
Golf Course Road,Apartment,3,4,1430,2,38,2,8.86,0,1,1,2,53332604
Sector 56,Apartment,4,5,2174,3,28,1,7.61,0,1,0,2,43986796
Sector 82,Builder Floor,3,4,1349,5,7,1,3.94,1,1,1,4,31337096
DLF Phase 4,Apartment,2,2,1280,15,24,1,3.47,0,1,1,3,39708158
Sector 85,Apartment,5,5,2461,12,41,3,8.29,1,0,0,5,51979867
Sector 85,Apartment,5,6,3490,11,10,2,1.15,1,1,1,4,67388223
Sector 84,Builder Floor,4,4,2086,21,37,4,1.21,1,1,0,4,41418502
Sector 65,Apartment,3,4,2025,11,27,1,8.46,1,1,1,3,37386492
Golf Course Extension Road,Villa,2,2,941,1,21,3,13.81,1,0,1,3,30399562
Sector 83,Apartment,4,4,3086,12,36,1,13.72,1,1,1,3,53836387
Sector 54,Apartment,2,3,1060,2,43,1,0.26,0,1,1,1,25475968
Sector 70,Apartment,4,5,2450,12,29,0,1.7,0,1,1,2,50932083
DLF Phase 3,Builder Floor,4,4,1734,24,7,2,8.79,1,1,0,2,46191298
Sector 89,Apartment,3,3,1793,1,13,1,12.74,1,0,1,2,34895617
Sector 85,Builder Floor,4,4,1755,18,23,2,14.32,0,1,1,3,34284719
Sector 56,Apartment,4,5,2375,8,25,3,12.92,1,1,1,4,47213214
Golf Course Road,Apartment,2,2,930,19,41,1,10.2,0,0,1,3,38892771
Sector 67,Villa,3,4,1734,0,13,1,3.09,1,1,1,3,34666189
Sector 56,Builder Floor,2,3,1330,12,37,3,1.18,1,0,1,4,24545850
Sector 85,Builder Floor,3,4,1223,1,30,2,0.81,1,0,1,5,29767645
Sector 92,Villa,2,2,1187,14,26,3,9.22,1,1,0,1,19091809
Sector 83,Villa,3,4,1971,18,12,1,0.64,1,1,1,5,35932977
Golf Course Road,Builder Floor,4,4,2626,24,1,1,11.11,1,0,1,3,66145255
Sector 67,Builder Floor,5,6,4342,24,18,1,10.72,1,0,1,2,77832858
DLF Phase 4,Builder Floor,2,2,991,15,21,3,1.29,1,0,1,2,39725568
South City 1,Builder Floor,3,3,1798,10,24,3,13.61,0,1,1,4,33631636
Sector 70,Apartment,3,4,2534,14,17,4,7.88,0,1,1,3,45604688
DLF Phase 1,Builder Floor,5,6,2038,5,42,2,13.58,0,1,1,4,45877955
Sector 92,Apartment,3,3,835,13,9,3,13.53,1,0,1,4,16669849
DLF Phase 5,Villa,3,3,2024,5,40,2,3.04,0,0,1,1,56217807
Sohna Road,Villa,5,6,3730,18,28,2,5.77,0,1,1,4,73781159
Sector 65,Apartment,3,4,913,4,15,3,2.11,0,0,0,3,22767244
DLF Phase 2,Builder Floor,4,4,2220,10,13,1,11.65,1,1,1,1,41931959
Sector 65,Apartment,4,4,1829,3,28,1,7.61,1,1,0,2,37781901
DLF Phase 5,Apartment,5,6,3216,8,17,1,13.94,1,0,0,1,76148331
Palam Vihar,Builder Floor,2,2,1190,8,9,3,3.2,0,0,0,3,24094651
DLF Phase 5,Apartment,3,4,2349,16,21,1,10.36,1,0,1,5,60627865
Sector 67,Builder Floor,4,5,1646,7,30,1,14.84,1,1,0,1,27735853
Sector 57,Builder Floor,3,4,1962,14,11,4,10.01,1,1,1,5,39682653
Sector 56,Apartment,3,4,2061,8,30,1,1.12,1,1,1,1,37025652
DLF Phase 1,Apartment,2,2,1214,4,36,1,8.87,1,0,1,1,24806908
DLF Phase 3,Apartment,1,2,450,3,25,2,2.78,1,0,0,4,21412276
Sector 85,Apartment,3,4,1974,19,7,3,0.55,1,0,0,5,38137751
Sector 65,Penthouse,3,3,1493,17,20,1,5.09,1,0,1,5,30148370
DLF Phase 3,Builder Floor,3,3,1067,8,35,2,4.06,0,1,1,1,32353415
Sector 57,Apartment,3,4,1955,20,10,0,11.85,0,1,0,3,31983463
DLF Phase 2,Builder Floor,3,4,2122,2,35,2,5.67,1,1,1,3,43862125
DLF Phase 3,Apartment,3,4,1541,21,1,1,11.02,1,1,0,5,37716238
Sector 70,Builder Floor,3,4,2150,8,14,1,0.34,1,1,0,4,38419502
DLF Phase 4,Apartment,3,4,2154,8,5,2,0.32,1,1,1,4,58902978
Sector 89,Builder Floor,3,4,1792,20,40,3,0.54,1,1,0,3,36341573
Sector 67,Apartment,2,2,1366,23,44,2,3.37,0,1,0,4,23665715
Golf Course Extension Road,Penthouse,3,3,2210,3,38,3,5.67,0,0,1,1,53305372
Sector 65,Apartment,3,4,2020,20,34,2,9.16,1,0,0,1,35739331
DLF Phase 3,Builder Floor,3,3,839,6,24,0,14.79,1,1,0,5,31445408
South City 1,Villa,2,2,494,6,4,1,5.38,1,1,1,2,16068709
South City 1,Apartment,4,5,2996,22,27,3,0.93,1,1,1,3,57013795
Sector 57,Villa,2,2,1007,7,5,2,3.0,1,0,0,3,23419920
DLF Phase 2,Builder Floor,4,4,2122,20,43,4,13.48,1,1,1,2,45110959
Palam Vihar,Apartment,1,2,864,0,13,1,10.52,1,1,0,4,18024754
Sector 57,Apartment,5,6,2486,8,40,1,11.87,1,1,1,1,49572847
Sector 65,Builder Floor,3,4,1741,24,21,1,1.95,0,0,1,1,26886647
Sector 65,Apartment,3,3,1805,22,37,1,2.11,1,1,1,3,30057009
Sector 82,Apartment,2,3,1140,11,32,1,1.77,1,1,1,3,24841920
DLF Phase 2,Apartment,1,1,788,5,38,2,12.87,1,1,1,4,13843328
Sector 85,Builder Floor,2,3,1095,12,31,2,3.23,1,1,0,4,21244531
Sector 67,Apartment,2,3,1401,4,32,1,9.68,1,1,1,3,28777278
Sector 70,Villa,3,4,1829,20,15,1,7.79,1,0,0,4,35458039
DLF Phase 5,Penthouse,2,3,1470,18,30,2,8.21,0,0,1,2,44124527
Sector 56,Penthouse,4,4,1631,0,43,2,3.01,1,0,1,1,35179292
Sector 65,Builder Floor,2,2,569,21,7,2,9.57,0,1,1,3,17562685
Sector 56,Apartment,4,5,2416,23,38,2,0.74,1,0,1,2,45539038
Sector 54,Builder Floor,3,3,1444,17,31,3,14.9,1,0,1,2,29627648
DLF Phase 2,Apartment,2,3,1610,7,44,2,0.5,1,1,0,5,30965375
DLF Phase 5,Apartment,3,4,1765,23,26,3,0.85,1,1,1,3,49520627
Golf Course Extension Road,Apartment,2,2,1261,7,36,2,4.94,0,1,1,5,37208136
Golf Course Road,Apartment,2,2,1113,14,43,1,12.49,0,0,0,2,47808365
Palam Vihar,Builder Floor,3,4,1526,18,26,1,3.93,1,1,1,3,33688528
South City 1,Builder Floor,3,4,1824,9,44,2,7.13,1,1,0,5,35762067
DLF Phase 3,Apartment,4,5,2968,23,2,2,0.37,0,0,0,1,64100445
Sector 67,Apartment,3,3,1668,15,43,2,1.28,0,1,0,3,31252554
DLF Phase 3,Penthouse,5,6,2732,10,43,1,9.16,1,0,1,5,65995844
New Gurgaon,Apartment,5,6,3563,11,9,2,3.0,0,1,0,4,72209194
Golf Course Road,Apartment,4,5,1456,15,5,3,10.44,0,0,0,3,50997457
Sector 54,Apartment,3,4,2299,15,27,2,11.8,1,1,1,4,42330290
Sector 84,Builder Floor,2,3,974,19,12,2,12.77,1,1,1,3,19665909
Sector 56,Builder Floor,2,3,1464,2,35,4,2.09,1,0,1,5,29285869
Sector 65,Apartment,3,3,1923,8,29,2,6.89,1,0,1,5,35695567
Sector 84,Apartment,3,4,924,7,16,1,14.21,1,0,1,3,21645691
DLF Phase 4,Builder Floor,2,3,1203,9,19,3,11.6,1,1,0,2,36092157
DLF Phase 2,Builder Floor,3,3,2351,12,43,1,1.84,0,0,1,5,45624534
Sector 54,Apartment,1,1,557,17,27,2,7.59,0,1,1,3,9088741
Golf Course Extension Road,Villa,4,5,2281,12,18,1,13.84,0,0,1,3,53880742
DLF Phase 2,Apartment,2,2,985,12,41,0,6.66,0,1,1,1,15552119
Sector 85,Apartment,3,4,2302,14,13,1,12.58,1,1,1,4,38798140
New Gurgaon,Villa,4,4,2140,12,30,1,7.49,1,1,1,1,40102686
DLF Phase 4,Apartment,2,2,1701,15,26,1,1.69,1,0,1,4,43919521
Sohna Road,Builder Floor,3,4,2285,7,6,1,2.3,1,1,0,4,40266007
Sector 92,Apartment,4,4,3145,18,3,3,0.8,1,1,1,1,59633536
Sector 70,Apartment,2,3,1222,9,23,3,3.01,1,1,1,2,29637397
Sector 65,Penthouse,2,2,1063,11,12,3,13.41,0,0,1,3,18754626
Palam Vihar,Apartment,2,3,1333,13,41,3,9.79,1,0,1,5,22601451
New Gurgaon,Villa,3,3,2451,5,41,2,11.11,1,1,1,3,41912565
Sector 85,Apartment,3,4,2544,20,15,3,9.36,0,1,1,1,44316319
Sector 54,Apartment,2,3,679,23,1,2,5.86,0,0,0,2,13192330
Sohna Road,Apartment,3,4,2936,8,8,2,3.33,0,0,1,5,47551996
DLF Phase 2,Builder Floor,2,3,1270,6,31,2,13.89,1,0,0,5,17530648
Sector 82,Apartment,4,4,2836,5,11,1,7.77,0,1,0,2,51915133
Sector 57,Villa,2,3,949,21,17,3,7.27,1,1,1,5,21864419
Sector 89,Apartment,4,4,1860,0,27,2,14.94,1,1,0,5,42243584
Sector 92,Penthouse,3,3,1195,20,31,1,5.82,1,0,0,2,21536252
Sohna Road,Apartment,4,5,3354,13,27,1,12.83,1,0,1,1,61478428
Sector 89,Villa,3,4,1511,23,14,1,12.95,1,1,1,1,26980740
DLF Phase 5,Builder Floor,3,3,1761,5,23,3,3.57,1,0,0,5,49952293
Sector 54,Builder Floor,3,3,1673,11,5,4,1.51,1,0,0,1,38450749
Sector 82,Villa,4,4,1828,16,30,1,14.64,1,1,0,1,29837115
Sohna Road,Builder Floor,3,4,1716,4,34,1,6.45,1,0,0,5,33912557
Sector 89,Builder Floor,3,4,1836,10,19,1,0.13,1,1,0,5,35131267
South City 1,Apartment,3,3,2324,4,31,3,7.54,0,0,1,1,42994551
Sohna Road,Apartment,4,4,1806,11,16,1,9.33,1,0,0,4,39042447
Sector 89,Villa,3,3,1554,2,27,3,11.66,0,0,1,2,25033389
Sector 85,Apartment,3,4,2031,23,26,2,14.15,0,1,1,1,32766921
Sector 56,Builder Floor,3,3,1819,8,39,3,13.74,0,1,1,1,36305576
Golf Course Extension Road,Apartment,3,3,1826,5,29,2,14.11,0,1,0,4,43290079
Sector 57,Apartment,5,5,2320,21,39,2,0.58,1,1,1,3,43124065
DLF Phase 1,Apartment,4,4,2835,1,44,2,10.71,1,0,1,3,51490856
Sector 89,Builder Floor,3,4,2393,1,29,3,3.47,1,0,1,2,43747706
DLF Phase 5,Apartment,3,3,2354,21,31,3,2.89,0,1,1,5,62705902
Sector 89,Apartment,4,5,2291,11,2,2,12.02,1,0,0,1,43105065
DLF Phase 1,Apartment,3,4,715,7,6,2,6.32,0,1,1,4,17783854
Sector 82,Apartment,5,5,3163,1,9,3,13.76,1,1,0,5,63616831
Sector 83,Apartment,2,3,1228,8,15,3,0.73,1,0,1,5,26116138
South City 1,Apartment,2,2,914,15,20,2,12.05,0,1,1,3,12920450
Golf Course Extension Road,Builder Floor,2,2,969,24,2,0,2.14,1,0,1,1,27383833
Sector 65,Apartment,3,3,1381,14,3,1,2.73,1,0,1,2,26469595
Sohna Road,Apartment,5,5,3192,13,30,3,7.21,1,0,0,4,65713286
DLF Phase 5,Apartment,1,1,484,19,8,1,5.99,1,1,1,1,25918080
Sector 56,Apartment,4,5,2492,3,40,1,7.34,1,0,1,5,45111629
New Gurgaon,Apartment,3,4,2798,3,21,1,14.11,1,0,1,5,48928821
DLF Phase 5,Apartment,4,4,2295,10,39,2,9.9,1,0,0,2,63186559
Sector 84,Apartment,3,4,1312,20,43,2,4.43,1,0,1,3,26759852
DLF Phase 5,Apartment,4,4,1586,23,13,1,2.68,1,1,1,2,54362872
Palam Vihar,Builder Floor,1,2,646,17,40,1,6.36,0,0,1,2,12822616
Sector 82,Villa,4,5,3521,4,41,3,6.83,1,1,1,1,66070546
