location,area_sqft,bedrooms,bathrooms,balconies,age_years,distance_to_it_hub_km,nearest_metro_km,parking_spaces,amenity_score,price_lakh
Jayanagar,3236,5,5,1,1,9.49,14.54,1,97.5,780.82
Marathahalli,474,1,1,3,8,13.17,0.67,1,52.8,273.03
JP Nagar,1767,4,5,2,15,15.21,8.21,3,73.7,314.37
Whitefield,1356,3,3,0,22,10.55,,0,83.1,427.35
Jayanagar,2404,4,4,2,29,19.73,7.25,3,39.1,462.89
JP Nagar,910,2,3,1,1,24.18,4.31,0,48.1,295.53
JP Nagar,1779,3,2,2,8,19.66,11.49,4,59.4,471.72
Koramangala,631,1,1,2,20,25.38,9.24,0,56.6,337.14
JP Nagar,1607,2,1,2,29,3.64,1.38,0,60.6,374.92
HSR Layout,1317,2,1,2,34,23.59,13.96,0,88.3,509.67
Indiranagar,871,1,2,0,0,5.21,,2,48.9,500.78
HSR Layout,2521,4,5,1,12,9.6,4.61,0,64.0,463.86
Koramangala,1310,2,1,0,34,15.44,,3,55.8,415.26
Whitefield,1895,6,5,0,4,22.39,6.92,0,43.0,488.24
Sarjapur Road,3308,5,6,3,26,19.88,2.32,1,57.0,611.08
Electronic City,2826,6,7,1,16,8.73,8.3,1,71.9,399.18
Bellandur,2414,3,2,2,18,15.24,11.35,1,45.6,505.15
Bellandur,1051,2,1,0,9,1.16,5.7,2,36.9,329.49
Sarjapur Road,1506,1,1,3,31,19.08,1.23,1,36.1,366.36
Jayanagar,1721,4,4,0,11,26.98,1.3,1,86.4,461.17
Jayanagar,2089,3,3,1,21,3.37,4.0,1,55.9,530.61
Hebbal,1748,2,3,2,26,4.06,3.79,2,64.9,488.16
JP Nagar,839,1,1,1,27,11.82,14.47,0,86.4,430.7
Jayanagar,1027,1,1,1,1,8.4,5.77,1,40.8,362.11
Bellandur,1057,4,5,0,0,23.25,2.19,1,87.9,383.83
Yelahanka,940,3,3,0,33,11.01,,1,64.0,267.14
Marathahalli,1978,4,3,1,32,29.21,3.17,1,94.8,371.71
Sarjapur Road,450,2,1,3,34,8.42,1.85,0,37.4,173.06
Jayanagar,806,1,1,2,23,22.68,,0,35.3,330.78
Jayanagar,982,3,4,3,11,5.38,10.15,4,49.5,553.44
Electronic City,2723,4,4,3,32,15.37,12.84,0,96.5,463.46
Koramangala,633,1,2,1,0,19.52,0.57,2,58.2,357.14
Jayanagar,1684,1,1,2,1,24.27,6.85,1,77.4,421.8
Yelahanka,1296,5,4,2,25,10.3,5.31,2,41.0,257.05
Sarjapur Road,782,1,1,2,32,17.6,13.51,0,73.3,258.41
Hebbal,4625,6,7,3,14,19.85,13.95,0,44.9,607.75
Bellandur,1907,2,3,2,17,28.19,6.92,1,70.8,488.67
Whitefield,868,3,2,1,19,0.59,4.44,1,71.6,296.04
Electronic City,2585,4,5,1,28,5.0,10.75,2,68.9,424.23
Bellandur,1233,3,4,2,7,22.51,2.39,2,45.1,359.56
JP Nagar,556,1,1,3,34,5.92,4.16,0,57.2,278.96
Bellandur,450,1,1,3,6,10.3,,1,91.8,259.77
Bellandur,1833,4,4,0,11,24.83,11.51,2,72.5,375.64
Electronic City,1571,3,3,0,2,18.34,11.54,4,48.9,346.53
Electronic City,678,1,1,2,26,15.93,14.15,0,49.2,181.49
Yelahanka,457,1,1,2,32,15.8,2.91,0,90.0,170.59
Bellandur,739,1,1,3,24,10.9,10.7,3,53.2,285.54
JP Nagar,858,2,1,0,16,12.26,8.29,1,74.8,392.91
Yelahanka,1618,3,2,3,29,16.83,,4,87.9,358.4
Koramangala,1438,1,2,0,21,27.38,9.31,2,84.4,433.18
Electronic City,919,2,1,1,23,24.63,3.43,0,41.5,192.29
Koramangala,450,2,1,3,25,1.21,,3,50.3,436.24
Indiranagar,539,1,1,3,16,21.38,6.02,2,40.1,324.15
Sarjapur Road,3385,4,3,1,34,21.13,9.3,2,42.0,448.81
Bellandur,899,3,2,1,12,10.56,13.92,0,53.5,253.57
Yelahanka,2688,4,3,2,30,22.07,4.37,3,48.8,356.53
Sarjapur Road,2164,2,2,3,23,25.43,7.18,1,76.7,386.94
Yelahanka,450,1,2,3,15,8.97,2.48,1,93.4,291.37
Hebbal,1985,3,2,3,12,2.38,5.9,0,96.3,538.26
Bellandur,609,1,1,3,20,14.5,9.3,2,79.2,313.67
Indiranagar,653,1,2,3,20,24.28,1.29,0,77.2,370.54
HSR Layout,2013,4,3,3,17,18.85,7.54,1,58.6,467.16
Whitefield,846,1,1,3,20,7.02,13.03,2,66.6,278.63
HSR Layout,450,1,1,1,9,24.51,1.91,1,50.9,131.9
Jayanagar,565,1,1,2,22,28.72,6.35,3,50.3,328.43
Koramangala,923,1,1,2,2,29.35,1.7,2,83.8,382.78
Indiranagar,1852,4,4,3,9,8.94,6.02,0,91.5,512.74
Electronic City,455,1,1,3,27,16.6,,0,69.3,308.09
HSR Layout,1227,2,1,1,12,22.77,,2,90.9,303.99
Bellandur,3478,6,7,0,8,28.01,8.63,0,59.3,585.63
Koramangala,507,2,2,0,8,22.16,9.87,1,63.9,385.41
JP Nagar,851,1,1,0,16,1.96,5.93,0,75.2,263.43
Whitefield,877,2,3,1,24,21.26,12.95,0,78.8,276.95
Yelahanka,644,1,1,3,33,0.89,13.18,2,83.4,269.44
Sarjapur Road,2035,3,3,1,13,22.94,7.29,1,81.3,464.05
Koramangala,1116,3,2,1,5,27.24,8.6,2,91.9,470.15
HSR Layout,1132,4,3,3,29,24.17,,0,57.9,352.6
Indiranagar,3129,4,5,2,18,15.17,11.83,2,85.7,735.49
Yelahanka,1434,1,1,1,32,13.47,4.85,1,74.4,335.69
Yelahanka,1144,2,2,1,17,18.72,1.96,2,58.0,307.1
Koramangala,1147,3,2,1,34,28.32,,2,89.7,280.24
Whitefield,721,3,3,0,12,11.22,13.27,2,96.9,332.83
Hebbal,2633,6,5,1,17,5.85,0.95,3,58.7,455.16
Electronic City,893,2,2,1,6,28.36,9.09,3,63.5,212.21
Yelahanka,1219,3,4,2,33,0.51,0.54,2,44.1,207.84
Jayanagar,450,1,1,1,5,15.59,7.51,0,95.3,325.61
HSR Layout,1819,2,2,3,2,24.77,14.22,0,48.9,398.0
Koramangala,3022,6,6,0,23,2.15,1.54,0,40.9,670.37
Bellandur,2698,4,4,2,4,6.79,10.1,1,76.9,552.11
Marathahalli,609,2,2,2,4,20.76,6.44,2,92.5,316.39
Electronic City,1771,4,4,2,8,29.68,0.89,2,59.6,341.78
Jayanagar,1241,2,3,3,9,11.82,,3,63.4,397.15
Hebbal,802,2,2,1,12,10.19,10.72,0,68.3,406.55
Marathahalli,1688,1,1,1,34,26.25,1.38,1,59.8,406.51
Koramangala,1850,5,5,3,13,2.19,,0,99.6,604.15
Sarjapur Road,1606,2,2,3,14,27.19,10.68,2,72.7,358.89
Bellandur,1655,4,4,2,8,15.52,9.24,0,49.8,330.43
Koramangala,1129,1,1,2,33,7.58,11.98,1,73.4,574.2
Hebbal,3509,6,5,1,34,1.88,8.85,0,86.7,542.77
Electronic City,693,1,1,0,33,27.43,13.54,1,93.5,206.7
Indiranagar,1552,1,1,1,29,14.07,10.66,1,99.6,509.37
JP Nagar,502,1,1,0,20,15.35,12.89,1,58.5,358.33
Bellandur,1123,1,1,2,5,3.25,6.95,3,94.1,431.21
Jayanagar,1416,2,1,3,10,24.64,13.18,1,81.2,550.67
Yelahanka,1344,3,2,0,1,5.66,1.06,3,73.2,326.72
Yelahanka,1871,2,2,1,18,3.63,12.64,3,80.3,360.12
Sarjapur Road,715,1,1,1,28,18.66,12.69,1,55.3,392.94
JP Nagar,707,1,1,3,32,12.21,13.81,3,91.2,364.21
Jayanagar,526,2,1,1,4,12.73,13.13,2,48.7,325.42
Whitefield,698,2,1,1,4,22.29,7.02,2,74.3,251.84
Whitefield,768,2,1,2,14,23.07,6.71,2,70.8,232.8
HSR Layout,690,1,1,0,8,1.13,11.19,0,36.0,392.26
JP Nagar,491,1,1,0,2,11.15,12.76,1,65.3,277.81
Jayanagar,1481,4,4,1,27,18.69,2.07,0,72.0,451.15
Bellandur,1001,3,4,1,6,18.3,10.95,1,96.8,453.97
Yelahanka,1322,1,1,1,6,6.79,12.25,0,81.6,123.97
Bellandur,927,1,1,2,25,13.46,6.82,1,42.2,335.92
Sarjapur Road,4873,6,5,0,16,26.09,9.7,2,91.3,665.37
Electronic City,450,1,2,3,26,21.53,12.11,2,41.8,193.11
Hebbal,814,1,1,2,8,17.25,7.37,2,83.7,318.55
Sarjapur Road,450,3,3,3,34,7.19,14.16,2,83.6,269.76
JP Nagar,1892,3,2,3,19,24.42,,4,99.5,627.14
Koramangala,794,3,2,0,3,20.4,4.91,0,79.4,405.11
Bellandur,1427,3,4,3,18,6.53,,2,63.7,427.04
Yelahanka,535,1,1,3,22,25.5,13.21,1,64.9,191.78
Bellandur,1223,3,4,3,13,23.87,3.4,2,60.8,350.16
Koramangala,1085,3,3,3,28,9.2,2.18,3,59.3,581.85
Yelahanka,841,2,2,2,3,5.85,3.08,2,64.8,185.2
Indiranagar,6500,6,7,0,6,14.04,12.77,2,52.4,1089.66
JP Nagar,1441,3,2,1,5,27.01,4.5,1,97.2,309.88
Whitefield,450,1,1,1,17,14.53,2.6,0,70.9,177.44
Indiranagar,4939,6,5,0,4,23.47,12.58,2,76.2,1003.89
Sarjapur Road,1073,3,4,3,29,13.6,,1,91.3,255.88
JP Nagar,574,1,1,2,31,26.9,0.63,1,93.6,299.1
Koramangala,752,2,2,1,6,22.07,11.81,2,61.7,287.36
Sarjapur Road,2211,4,3,1,15,9.61,3.52,1,41.5,462.54
Electronic City,2414,4,3,2,24,24.85,3.68,1,39.4,419.48
Sarjapur Road,1636,3,3,0,9,2.38,12.82,0,92.1,449.95
Koramangala,744,1,1,1,29,19.09,7.41,2,59.2,366.3
Electronic City,1878,3,2,2,29,17.41,,0,84.1,331.47
Yelahanka,1429,1,1,2,24,25.03,14.73,0,35.4,326.51
Hebbal,1346,3,3,2,30,12.52,4.17,1,38.8,418.62
Yelahanka,1266,4,4,1,14,20.83,0.98,0,56.1,195.22
Whitefield,1020,1,2,2,30,19.84,8.71,1,65.2,309.05
Electronic City,1324,2,2,2,33,1.63,5.94,0,82.8,349.9
Jayanagar,853,3,4,0,23,11.27,3.97,0,47.3,284.44
Marathahalli,1843,3,3,3,27,17.87,,4,46.7,354.08
Bellandur,1399,3,3,3,3,17.93,3.2,0,93.4,406.86
JP Nagar,4233,6,6,3,23,0.98,14.63,1,45.7,654.8
Koramangala,552,1,2,0,4,7.84,0.87,0,78.3,472.16
HSR Layout,2702,4,5,0,19,14.76,2.48,0,76.2,537.84
Hebbal,667,1,1,2,26,20.45,2.31,1,46.6,282.61
Indiranagar,824,1,2,1,23,18.66,10.91,1,77.0,349.14
Sarjapur Road,1124,1,2,0,28,11.39,11.32,1,67.9,351.19
Whitefield,3311,6,7,0,10,3.22,,0,66.1,585.01
Electronic City,679,1,1,3,16,9.18,2.68,2,63.4,271.14
Bellandur,2367,3,3,1,33,0.98,2.94,2,43.0,441.8
Whitefield,2289,6,6,0,21,8.88,4.71,2,65.1,528.76
Koramangala,2653,4,5,1,20,17.76,0.36,2,68.2,644.44
JP Nagar,804,1,1,2,13,4.52,8.65,2,40.0,328.42
Hebbal,2064,3,4,3,11,8.49,11.51,2,38.1,466.47
Hebbal,1221,3,4,2,34,17.65,10.51,2,82.1,372.08
Indiranagar,1642,3,3,3,10,10.9,4.79,2,49.6,628.05
Whitefield,913,4,4,3,25,21.88,6.75,3,57.1,349.66
Electronic City,450,2,2,0,21,16.33,2.96,0,67.1,236.28
Marathahalli,1368,1,1,0,27,7.08,3.52,1,64.7,449.24
Marathahalli,2011,4,3,3,21,24.5,14.07,0,87.4,342.7
Sarjapur Road,2190,2,2,3,33,6.27,6.89,3,43.7,412.9
Electronic City,1526,1,1,1,17,14.27,8.4,0,37.1,225.77
JP Nagar,953,1,2,1,6,5.47,10.45,0,89.8,321.09
Bellandur,738,2,1,1,2,14.53,6.99,0,57.9,134.96
Koramangala,2049,4,5,2,5,20.67,,0,76.9,579.53
Jayanagar,2166,2,1,1,33,11.85,,2,36.0,500.91
Yelahanka,1170,2,2,1,7,14.87,12.4,0,63.0,255.72
Indiranagar,1420,4,3,3,34,24.3,6.25,1,64.2,407.67
Electronic City,1356,3,3,2,7,22.5,,1,60.2,407.64
Koramangala,871,1,1,1,13,8.78,6.11,1,56.9,444.28
HSR Layout,2134,3,4,3,14,15.28,7.35,1,81.8,460.12
Jayanagar,3110,6,6,2,15,25.12,6.31,0,85.2,676.44
JP Nagar,450,1,1,1,17,9.89,4.46,2,60.3,359.17
JP Nagar,1690,4,5,3,15,25.82,6.49,2,69.1,456.74
Koramangala,1573,3,2,0,4,14.41,14.11,2,54.8,556.0
Whitefield,1080,1,1,0,28,24.09,6.91,3,79.9,209.7
Indiranagar,635,2,1,3,17,18.62,3.56,1,45.7,480.15
Koramangala,3733,6,6,0,16,7.2,6.72,4,87.6,659.71
Koramangala,1069,4,5,1,23,4.09,9.27,2,61.7,451.05
Whitefield,3726,6,7,3,29,9.2,9.11,2,49.6,590.72
Jayanagar,2130,3,2,1,17,1.5,,2,63.5,453.9
HSR Layout,1247,3,2,2,4,8.24,8.06,2,59.3,398.39
Marathahalli,1073,1,1,3,16,25.03,,2,41.3,267.88
Sarjapur Road,1355,2,1,3,12,18.13,2.51,0,35.4,308.55
Hebbal,1694,4,5,3,12,13.31,,1,82.7,469.29
Whitefield,1351,2,1,2,32,10.06,9.09,0,58.4,423.25
JP Nagar,922,1,1,0,7,12.63,3.89,2,69.4,379.75
HSR Layout,2453,4,3,2,30,5.43,12.86,1,68.3,567.32
Hebbal,3539,5,6,1,15,7.0,1.89,4,59.3,669.64
Jayanagar,1183,3,4,2,13,6.41,6.55,1,98.6,447.92
Koramangala,1330,1,1,1,1,24.27,1.35,3,69.6,411.54
Indiranagar,1956,2,3,0,25,25.08,6.84,2,87.7,646.33
Hebbal,963,1,2,0,22,16.84,8.77,1,91.1,215.46
Bellandur,450,2,3,2,12,0.97,13.26,2,59.5,310.07
HSR Layout,1327,2,2,2,6,1.04,5.97,1,63.9,549.26
Koramangala,2418,4,4,2,22,3.76,9.79,0,45.7,523.82
Jayanagar,517,2,1,1,15,5.4,7.49,2,74.0,320.84
Marathahalli,450,1,2,3,29,29.79,12.07,2,88.8,128.78
HSR Layout,1768,4,5,3,16,13.65,,1,45.4,443.87
Electronic City,624,1,1,0,20,11.37,1.08,0,55.0,150.76
Hebbal,482,1,1,0,2,1.69,15.0,0,68.2,457.54
HSR Layout,557,2,3,3,14,2.65,,3,94.2,314.79
Koramangala,1487,5,5,3,29,12.38,7.45,1,69.2,516.09
JP Nagar,2804,5,4,2,27,5.24,3.15,1,51.7,625.58
Sarjapur Road,493,1,2,1,31,17.67,8.94,1,79.7,337.89
Bellandur,1376,2,3,3,34,25.05,3.68,4,86.3,360.14
JP Nagar,1454,3,2,3,18,4.41,,0,54.8,305.53
Indiranagar,1375,2,1,2,12,7.9,0.96,2,46.7,357.42
HSR Layout,1808,3,3,0,6,23.31,3.75,2,78.4,498.14
Jayanagar,1181,1,2,3,31,17.68,,0,64.6,407.8
Marathahalli,474,1,2,2,34,18.83,5.39,2,79.3,232.82
Bellandur,1400,3,4,1,18,12.55,4.14,1,87.1,476.31
Whitefield,2366,4,5,2,20,7.73,2.29,0,88.3,503.21
Hebbal,1013,1,2,3,5,29.73,9.83,1,45.6,463.84
Whitefield,701,1,1,1,19,14.15,12.0,1,64.6,298.12
Jayanagar,2028,4,5,0,9,21.99,10.47,3,94.1,568.83
Sarjapur Road,848,1,1,1,21,23.08,7.81,0,70.9,334.01
Electronic City,1016,2,3,0,1,25.87,4.52,0,50.2,373.94
Marathahalli,2063,1,2,0,20,27.33,1.47,1,61.1,386.57
Jayanagar,1743,4,4,1,19,7.63,7.66,1,38.2,361.77
Marathahalli,5607,6,7,1,33,11.09,4.79,0,83.7,653.36
Marathahalli,929,3,3,1,9,7.74,11.09,1,44.2,350.29
HSR Layout,2512,6,6,0,5,9.53,14.27,0,67.2,607.86
Marathahalli,682,2,2,0,30,12.43,,2,88.9,198.85
Bellandur,4756,5,6,1,18,7.66,7.52,2,56.8,817.19
Sarjapur Road,3093,6,5,1,1,4.96,1.84,1,98.1,591.84
Yelahanka,1981,3,2,2,3,5.51,6.05,2,72.4,453.03
Sarjapur Road,503,1,1,2,27,12.66,3.75,0,50.1,279.97
Marathahalli,1708,3,3,3,6,8.71,1.24,1,62.1,384.62
Electronic City,767,1,2,2,8,7.37,7.87,0,69.0,115.36
JP Nagar,1938,2,1,1,12,27.93,4.74,3,59.5,397.36
Hebbal,1342,1,1,2,26,13.35,6.27,2,73.0,441.5
Marathahalli,1075,2,2,0,9,19.78,5.51,1,80.1,291.36
Hebbal,4288,6,6,1,31,20.11,6.6,0,35.3,723.21
Electronic City,701,1,1,0,8,4.03,1.01,0,59.6,276.16
HSR Layout,861,2,3,1,10,7.82,5.05,1,56.5,318.39
Whitefield,1943,4,4,1,31,19.51,4.92,0,72.5,475.87
Bellandur,826,1,2,1,11,12.26,4.6,2,41.1,284.61
Bellandur,846,2,3,1,12,23.46,11.31,1,60.9,150.7
JP Nagar,2212,4,4,2,5,1.4,,2,97.3,477.39
Hebbal,2191,4,4,1,1,23.45,12.91,2,71.4,486.04
Jayanagar,4291,6,6,1,6,10.05,8.88,3,62.7,765.48
Sarjapur Road,1810,4,5,1,13,15.88,13.58,1,88.4,311.19
Bellandur,2444,3,2,1,26,9.93,1.28,1,53.7,511.06
Sarjapur Road,1241,4,5,0,14,21.32,6.92,1,87.8,317.57
Electronic City,1041,2,1,3,13,26.42,10.44,0,90.8,259.03
JP Nagar,1361,4,5,0,34,27.36,12.81,1,95.1,449.09
Indiranagar,849,2,3,1,5,29.16,1.65,0,90.7,334.23
Sarjapur Road,2561,3,3,3,20,13.62,5.55,2,83.3,486.25
HSR Layout,720,2,1,3,10,21.85,,1,66.0,340.55
Whitefield,2027,3,4,0,14,14.38,11.0,1,83.0,389.58
Bellandur,4643,6,6,3,26,6.41,3.69,1,75.5,622.6
Marathahalli,1151,2,1,2,27,9.52,5.81,4,65.7,334.74
Indiranagar,2783,5,5,2,28,12.37,8.59,2,55.1,622.4
JP Nagar,1543,1,2,3,6,1.56,5.54,1,48.9,391.76
Whitefield,1281,3,4,3,3,29.44,7.46,1,47.5,324.65
Jayanagar,2094,3,4,0,21,2.1,6.33,0,46.2,554.44
Sarjapur Road,1877,5,5,3,4,29.52,3.17,0,68.5,483.45
Koramangala,1688,5,5,3,7,17.62,2.79,0,99.2,489.9
Hebbal,1235,4,5,2,13,8.36,9.36,2,91.8,446.45
Indiranagar,777,3,3,2,2,15.91,3.72,2,49.0,555.95
Marathahalli,3595,4,4,1,32,25.83,11.78,1,50.1,390.16
Koramangala,1466,5,6,1,30,7.94,2.95,0,94.0,651.1
Indiranagar,2101,4,4,0,6,25.19,,2,81.9,430.12
Indiranagar,4860,6,7,2,33,17.44,11.43,2,84.3,1058.2
Sarjapur Road,2330,6,6,3,30,7.38,13.6,0,97.9,467.32
Electronic City,618,1,1,2,21,17.37,8.11,1,89.3,309.22
Koramangala,592,1,1,1,3,25.33,5.63,1,62.1,303.74
Whitefield,4505,6,7,1,25,6.83,8.69,1,54.6,671.4
Marathahalli,450,2,3,1,21,28.48,2.3,0,79.6,387.23
Sarjapur Road,758,1,2,1,13,10.56,5.86,0,73.6,241.98
Koramangala,1887,2,3,3,1,26.31,14.29,4,50.3,420.7
Electronic City,1476,4,5,3,26,14.06,7.47,2,76.2,438.35
Marathahalli,468,1,1,2,10,5.54,6.24,2,62.9,249.61
JP Nagar,1303,2,3,3,11,21.17,4.02,2,89.2,284.75
Sarjapur Road,4484,6,7,2,18,16.53,5.0,1,65.0,764.2
Marathahalli,683,1,2,3,19,25.78,7.36,3,71.9,296.45
JP Nagar,450,2,1,3,34,23.81,13.8,1,44.3,251.16
Koramangala,790,3,3,2,2,14.15,1.4,1,63.8,507.62
JP Nagar,1304,3,3,1,8,7.59,10.49,4,67.8,273.08
Bellandur,924,1,1,0,1,8.96,1.08,0,47.1,272.01
JP Nagar,2345,5,4,0,15,11.71,,1,43.1,538.71
JP Nagar,2575,4,5,3,17,13.46,13.44,1,72.5,409.93
Electronic City,2938,5,6,2,25,22.68,11.78,1,81.3,469.86
Jayanagar,2241,4,3,3,27,11.98,3.12,0,59.2,508.82
Jayanagar,1033,1,2,3,13,20.73,4.86,0,79.5,396.52
Hebbal,848,2,1,3,22,14.95,11.08,0,42.0,190.66
Indiranagar,1248,2,1,1,17,8.52,13.51,2,98.6,394.88
JP Nagar,2361,5,4,3,16,10.46,7.15,0,47.8,444.37
Indiranagar,685,3,4,2,34,10.96,9.87,2,59.9,348.19
Whitefield,1486,5,6,3,6,16.92,1.98,1,65.9,498.94
Electronic City,2356,4,3,0,28,15.54,5.52,3,55.8,319.46
Indiranagar,2529,3,2,2,13,28.14,0.84,0,89.9,486.48
Bellandur,1817,3,2,2,9,22.78,6.87,2,98.7,455.46
Marathahalli,596,1,1,3,34,15.59,9.09,1,99.8,207.83
Sarjapur Road,1034,2,2,0,29,3.46,4.9,2,81.1,327.67
Electronic City,1138,2,2,2,17,24.51,11.04,0,97.9,328.24
Whitefield,450,1,1,2,12,26.03,7.61,1,61.5,281.42
Indiranagar,674,1,1,0,19,15.14,2.34,1,39.0,270.3
Sarjapur Road,3034,4,4,3,33,19.15,3.67,0,62.0,563.31
Koramangala,900,3,4,2,33,0.85,,0,77.5,293.24
HSR Layout,458,1,1,3,23,9.67,2.57,1,85.7,328.39
Yelahanka,1651,3,3,2,5,26.15,13.37,3,99.1,332.8
JP Nagar,2594,6,6,0,32,5.96,1.81,2,76.4,486.68
Yelahanka,450,1,2,1,7,24.13,12.55,2,45.2,220.56
JP Nagar,1068,2,2,2,26,18.65,12.0,1,99.2,263.51
Hebbal,679,1,2,0,2,3.24,10.34,2,70.1,373.58
JP Nagar,710,3,3,3,16,17.46,8.63,1,64.5,353.56
HSR Layout,637,3,4,3,3,14.02,,0,64.2,373.42
Yelahanka,1405,1,1,0,29,17.04,0.26,2,76.8,320.52
Hebbal,1132,2,2,2,16,14.8,11.14,0,66.9,364.81
Koramangala,2962,5,6,1,5,19.91,2.16,0,37.2,647.56
Yelahanka,608,1,2,1,9,6.91,12.68,0,74.9,342.32
Electronic City,3197,6,7,1,16,23.94,11.21,3,63.0,429.36
Whitefield,1223,2,3,1,14,14.28,7.62,1,50.6,321.06
Marathahalli,1288,3,3,3,19,27.78,9.13,2,76.9,335.08
Bellandur,706,2,3,2,29,23.65,13.28,2,81.0,231.83
Sarjapur Road,1583,3,2,1,16,19.0,,1,88.9,374.85
Marathahalli,2953,3,2,3,17,24.6,7.04,0,66.6,462.61
JP Nagar,675,1,2,3,10,19.99,2.79,1,84.8,251.36
Jayanagar,2498,3,2,2,14,10.05,9.58,1,61.6,515.55
Sarjapur Road,767,2,3,1,18,13.71,7.38,4,98.9,373.33
Indiranagar,891,1,2,0,13,9.15,10.12,1,53.5,386.21
HSR Layout,1424,2,2,1,11,2.86,11.39,2,61.5,540.09
Marathahalli,1171,2,3,2,32,23.11,0.86,1,54.9,232.91
Marathahalli,1123,2,1,0,32,29.23,9.73,2,42.7,292.01
JP Nagar,1189,1,1,0,3,29.88,,0,94.7,397.5
Koramangala,4481,6,6,3,12,10.76,5.7,2,45.6,846.06
Sarjapur Road,1330,3,4,1,21,16.99,14.82,2,53.9,294.06
Hebbal,591,1,2,3,10,17.55,1.95,1,93.9,252.05
Koramangala,543,1,2,0,16,10.53,9.53,0,67.0,378.87
HSR Layout,992,2,1,1,29,20.82,0.99,1,44.4,357.21
Jayanagar,4118,6,5,0,29,21.56,6.75,2,72.6,694.87
Hebbal,6383,6,5,3,29,20.17,3.6,1,65.4,775.25
JP Nagar,2227,4,4,1,6,26.93,11.97,1,63.9,357.91
Electronic City,542,2,1,3,19,5.84,3.13,0,76.8,261.11
Indiranagar,658,2,3,1,23,4.9,1.26,1,56.8,369.72
JP Nagar,555,1,1,0,17,6.67,13.84,1,68.0,291.76
Marathahalli,663,2,3,3,8,9.41,6.45,2,79.8,314.97
Whitefield,450,1,2,0,5,6.9,6.87,0,81.6,293.15
JP Nagar,1735,4,3,1,18,15.17,1.75,4,95.0,405.98
Sarjapur Road,803,1,1,3,13,7.48,13.61,0,64.1,397.64
Whitefield,4028,6,5,3,26,0.54,,4,42.5,669.34
Bellandur,1569,4,3,2,20,19.5,14.0,1,91.1,397.67
Bellandur,1924,5,4,2,3,7.35,8.7,0,97.8,455.64
Indiranagar,450,1,1,3,13,22.58,14.48,1,96.1,257.49
Koramangala,866,3,4,3,18,28.24,9.86,2,64.0,449.36
Indiranagar,544,1,1,1,14,19.3,11.37,1,87.5,380.21
Koramangala,450,1,2,1,4,27.98,11.35,4,44.0,172.55
Indiranagar,1750,3,4,3,24,9.33,12.9,0,38.4,544.89
Hebbal,1251,2,3,3,26,9.63,,0,98.5,525.97
Jayanagar,450,1,1,2,29,21.85,14.43,1,95.5,328.24
JP Nagar,2812,4,4,0,2,9.0,0.4,2,64.5,565.51
Sarjapur Road,1792,4,5,0,29,12.23,10.49,0,81.0,481.68
Bellandur,791,1,1,3,6,6.05,0.52,2,65.9,357.03
HSR Layout,1723,4,3,3,34,20.74,14.65,1,64.2,445.72
Jayanagar,1332,2,2,3,20,17.13,1.32,1,48.4,369.47
Bellandur,806,1,1,2,5,22.93,13.5,1,85.8,357.57
Bellandur,747,2,2,2,26,1.59,6.69,1,96.2,427.48
JP Nagar,1900,4,3,0,11,24.04,5.54,2,56.7,441.59
Koramangala,1481,4,4,3,2,12.98,11.49,1,49.1,518.98
Marathahalli,452,1,1,2,2,3.29,0.8,0,64.9,316.9
Koramangala,1972,3,2,1,31,18.04,5.56,0,48.4,632.49
Marathahalli,529,3,2,2,17,9.4,13.93,0,44.3,155.73
Electronic City,846,1,1,0,4,15.81,13.96,1,84.3,262.49
Hebbal,2075,4,4,2,26,4.54,12.35,3,76.8,431.84
Sarjapur Road,1083,1,2,2,34,18.12,,0,44.1,200.05
Marathahalli,2147,3,4,1,26,7.17,4.54,1,56.8,320.38
Sarjapur Road,4160,4,4,3,9,14.2,11.71,0,42.1,635.21
Koramangala,750,2,1,2,8,8.42,5.63,2,88.5,456.32
JP Nagar,1790,2,3,2,13,25.59,5.78,0,65.6,320.34
Electronic City,2118,4,3,1,16,4.99,0.78,1,79.7,376.95
Whitefield,2705,3,3,0,8,17.17,2.69,1,91.0,381.36
Marathahalli,1310,3,3,1,6,18.98,6.99,0,74.2,405.57
Sarjapur Road,670,1,1,1,28,26.96,10.61,1,58.4,251.33
Sarjapur Road,450,1,2,2,4,17.82,7.23,1,77.4,225.93
Bellandur,1939,2,2,3,1,10.51,5.33,2,44.4,491.02
Bellandur,2329,3,2,1,28,12.72,1.42,4,50.4,407.32
JP Nagar,2286,4,4,3,9,9.26,14.97,2,95.7,594.4
Indiranagar,1846,2,3,3,15,18.25,9.14,0,90.8,483.86
Koramangala,610,1,2,3,2,29.94,14.55,2,58.0,388.35
Indiranagar,2231,4,5,3,15,12.95,10.03,3,68.5,477.97
JP Nagar,450,1,2,3,12,22.89,4.4,1,59.2,303.5
HSR Layout,1990,4,3,0,28,22.96,2.67,2,99.9,503.32
Bellandur,603,1,1,1,12,20.25,1.27,1,79.3,321.31
Jayanagar,579,1,2,3,25,15.64,2.78,4,59.3,399.97
Whitefield,477,2,3,3,28,13.74,9.99,2,38.2,294.56
Yelahanka,450,2,2,2,0,12.92,14.29,0,92.1,237.02
Koramangala,2173,3,4,1,0,23.54,0.36,2,75.7,616.41
Indiranagar,498,3,3,0,24,12.99,14.04,0,36.7,405.13
